"2, 3, 4, 13, 14, 15"
"1, 3, 4, 5, 14, 15"
"1, 2, 4, 5, 6, 15"
"1, 2, 3, 5, 6, 7"
"2, 3, 4, 6, 7, 8"
"3, 4, 5, 7, 8, 9"
"4, 5, 6, 8, 9, 10"
"5, 6, 7, 9, 10, 11"
"6, 7, 8, 10, 11, 12"
"7, 8, 9, 11, 12, 13"
"8, 9, 10, 12, 13, 14"
"9, 10, 11, 13, 14, 15"
"1, 10, 11, 12, 14, 15"
"1, 2, 11, 12, 13, 15"
"1, 2, 3, 12, 13, 14"
"2, 3, 4, 13, 14, 15"
"1, 3, 4, 5, 14, 15"
"1, 2, 4, 5, 6, 15"
"1, 2, 3, 5, 6, 7"
"2, 3, 4, 6, 7, 8"
"3, 4, 5, 7, 8, 9"
"4, 5, 6, 8, 9, 10"
"5, 6, 7, 9, 10, 11"
"6, 7, 8, 10, 11, 12"
"7, 8, 9, 11, 12, 13"
"8, 9, 10, 12, 13, 14"
"9, 10, 11, 13, 14, 15"
"1, 10, 11, 12, 14, 15"
"1, 2, 11, 12, 13, 15"
"1, 2, 3, 12, 13, 14"
"2, 3, 4, 13, 14, 15"
"1, 3, 4, 5, 14, 15"
"1, 2, 4, 5, 6, 15"
"1, 2, 3, 5, 6, 7"
"2, 3, 4, 6, 7, 8"
"3, 4, 5, 7, 8, 9"
"4, 5, 6, 8, 9, 10"
"5, 6, 7, 9, 10, 11"
"6, 7, 8, 10, 11, 12"
"7, 8, 9, 11, 12, 13"
"8, 9, 10, 12, 13, 14"
"9, 10, 11, 13, 14, 15"
"1, 10, 11, 12, 14, 15"
"1, 2, 11, 12, 13, 15"
"1, 2, 3, 12, 13, 14"
"2, 3, 4, 13, 14, 15"
"1, 3, 4, 5, 14, 15"
"1, 2, 4, 5, 6, 15"
"1, 2, 3, 5, 6, 7"
"2, 3, 4, 6, 7, 8"
"3, 4, 5, 7, 8, 9"
"4, 5, 6, 8, 9, 10"
"5, 6, 7, 9, 10, 11"
